A 164 ,Estimate,Std..Error,t.value,Pr...t..,
A 164 (Intercept),43.42063578,15.83382482,2.74227082,0.007716458,1
A 164 restaurant,-0.228734059,0.107013638,-2.137429052,0.036008034,1
A 164 economics,-0.290709049,0.102139491,-2.846196358,0.005779664,1
A 164 dowjones,-0.238307821,0.081095668,-2.938601119,0.004444538,1
A 164 unemployment,-0.095822832,0.042418689,-2.258976739,0.026957172,1
A 164 money,0.379378178,0.099755369,3.803085313,0.000299568,1
A 164 religion,-0.187511741,0.079975217,-2.344623101,0.021847335,1
A 164 food,-0.150412397,0.074109335,-2.029601219,0.046146236,1
A 164 culture,0.314917161,0.109297042,2.881296274,0.005234107,1
A 164 trader,-0.130950822,0.059766375,-2.191045073,0.031731888,1
A 164 lifestyle,0.083304247,0.032986218,2.525425825,0.013789836,1
A 164 forex,-0.095594714,0.047592693,-2.00860063,0.048383749,1
A 164 fun,-0.162510808,0.073683696,-2.205519235,0.030656572,1
