AH 49 ,Estimate,Std..Error,t.value,Pr...t..,
AH 49 (Intercept),1068.339417,NA,NA,NA,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
AH 49 ,,,,,1
