AR 69 ,Estimate,Std..Error,t.value,Pr...t..,
AR 69 (Intercept),82.96433406,35.32572362,2.348552997,0.021635031,1
AR 69 economics,-0.554757829,0.227876176,-2.434470509,0.017429833,1
AR 69 dowjones,-0.406791984,0.180926793,-2.248378899,0.027657643,1
AR 69 stockmarket,0.657014704,0.220509693,2.979527545,0.003949753,1
AR 69 invest,0.473707146,0.17925313,2.642671552,0.010113178,1
AR 69 sell,-0.719822408,0.290653041,-2.476569332,0.015649692,1
AR 69 house,0.614007722,0.237047066,2.590235489,0.011630656,1
AR 69 rich,0.284549062,0.101035943,2.816315188,0.006284862,1
AR 69 food,-0.380326075,0.165340082,-2.300265425,0.024375124,1
AR 69 trader,0.289928824,0.133340521,2.174348964,0.033013173,1
AR 69 lifestyle,0.266317931,0.073593212,3.618783896,0.000550793,1
AR 69 kitchen,-0.694070632,0.244320878,-2.840815885,0.005867778,1
AR 69 home,0.604129626,0.258815774,2.334207137,0.022419017,1
AR 69 train,0.310174568,0.144543049,2.145897509,0.035300933,1
AR 69 forex,-0.350183758,0.106180682,-3.297998749,0.001523588,1
AR 69 fun,-0.393122221,0.164390468,-2.391393046,0.019436965,1
