AX 51 ,Estimate,Std..Error,t.value,Pr...t..,
AX 51 (Intercept),25.34619687,19.62207234,1.291718654,0.200643732,1
AX 51 revenue,-0.147585814,0.055171585,-2.675033083,0.009268851,1
AX 51 unemployment,-0.136340482,0.052567373,-2.593633146,0.011526403,1
AX 51 cancer,-0.202758272,0.075396436,-2.689228879,0.008919162,1
AX 51 invest,0.357363223,0.099568176,3.58913095,0.000606512,1
AX 51 sell,0.569133147,0.161446516,3.525211703,0.000745369,1
AX 51 banking,0.181965654,0.0628618,2.894693677,0.005038704,1
AX 51 gold,-0.154196298,0.074186993,-2.078481559,0.041280303,1
AX 51 success,-0.204844602,0.087865893,-2.331332404,0.022579118,1
AX 51 gain,0.277357271,0.075852305,3.65654374,0.000486865,1
AX 51 default,0.19354022,0.07762593,2.493241897,0.014991083,1
AX 51 movie,-0.181668608,0.090369253,-2.01029223,0.048200133,1
AX 51 food,0.504918714,0.091840017,5.497807281,5.70E-07,1
AX 51 forex,0.147837736,0.05897926,2.506605478,0.014481306,1
