B 405 ,Estimate,Std..Error,t.value,Pr...t..,
B 405 (Intercept),32.50970832,14.80577606,2.19574497,0.031379156,1
B 405 economics,-0.246967504,0.095507842,-2.585834826,0.011766954,1
B 405 dowjones,-0.221481125,0.075830339,-2.920745554,0.00467788,1
B 405 invest,0.214019239,0.07512887,2.848695043,0.00573916,1
B 405 finance,-0.20424902,0.095282384,-2.143617865,0.035490079,1
B 405 success,-0.135919622,0.066298947,-2.050102278,0.044048362,1
B 405 nyse,-0.167559589,0.072265197,-2.318676142,0.023296107,1
B 405 culture,0.355758278,0.102200672,3.480977878,0.000858575,1
B 405 politics,0.091517837,0.040307762,2.270476745,0.026214808,1
B 405 trader,-0.179392403,0.055885901,-3.209976035,0.001994283,1
B 405 fond,-0.208980319,0.054915253,-3.805505862,0.000297147,1
B 405 consumption,0.100462157,0.046474496,2.161662122,0.0340168,1
