BBV 3 ,Estimate,Std..Error,t.value,Pr...t..,
BBV 3 (Intercept),-1052.15207,NA,NA,NA,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
BBV 3 ,,,,,1
