BK 60 ,Estimate,Std..Error,t.value,Pr...t..,
BK 60 (Intercept),-8.669471515,17.60152277,-0.492540994,0.623856669,1
BK 60 restaurant,-0.247522045,0.118960706,-2.080704227,0.041070003,1
BK 60 economics,-0.271771181,0.113542407,-2.393565431,0.019331007,1
BK 60 dowjones,-0.237379378,0.090149238,-2.633182291,0.010373694,1
BK 60 markets,0.352292522,0.122333938,2.879761146,0.005256938,1
BK 60 office,0.419378233,0.105255591,3.984379624,0.000161899,1
BK 60 cash,0.088999932,0.040744279,2.184354051,0.032240045,1
BK 60 loss,-0.226953922,0.082045227,-2.766205069,0.007223968,1
BK 60 water,-0.314971974,0.12752332,-2.469916663,0.015919665,1
BK 60 chance,0.078716911,0.036505615,2.156295962,0.034449257,1
BK 60 success,-0.232793997,0.078818051,-2.953561942,0.004257368,1
BK 60 tourism,-0.233133641,0.106949658,-2.179844668,0.032586518,1
BK 60 present,-0.263280903,0.103467791,-2.54456872,0.013117196,1
BK 60 buy,-0.210512002,0.083622658,-2.517403878,0.014080842,1
