BT 53 ,Estimate,Std..Error,t.value,Pr...t..,
BT 53 (Intercept),16.98407075,19.95758231,0.851008428,0.397625716,1
BT 53 portfolio,0.245904222,0.107928912,2.278390622,0.025714478,1
BT 53 dowjones,-0.224366924,0.102216204,-2.195023056,0.031433113,1
BT 53 crisis,0.140320196,0.069029411,2.032759578,0.045817545,1
BT 53 economy,-0.231691919,0.111998216,-2.068710799,0.042215853,1
BT 53 culture,0.346433431,0.137762338,2.514718007,0.014179506,1
BT 53 financialmarkets,0.12838994,0.058194586,2.206217928,0.030605483,1
BT 53 buy,-0.209332592,0.094816005,-2.207776965,0.030491754,1
BT 53 fond,-0.21511675,0.074023522,-2.906059376,0.004878237,1
BT 53 consumption,0.225583304,0.062645725,3.600936946,0.000583715,1
