BY 54 ,Estimate,Std..Error,t.value,Pr...t..,
BY 54 (Intercept),48.86068127,32.1884738,1.517955824,0.133465944,1
BY 54 stocks,0.312590359,0.088904798,3.516012261,0.000767679,1
BY 54 cancer,-0.377816946,0.123681951,-3.054746004,0.003171109,1
BY 54 invest,0.668087846,0.1633338,4.090322069,0.000112197,1
BY 54 ore,0.200606725,0.094690448,2.118552921,0.037628674,1
BY 54 car,0.856059256,0.24160418,3.543230316,0.000703441,1
BY 54 risk,0.486577744,0.172787244,2.816051298,0.006289499,1
BY 54 water,-0.790981065,0.233206019,-3.391769512,0.001138205,1
BY 54 crisis,-0.226087756,0.111333695,-2.030721749,0.046029391,1
BY 54 holiday,0.311558842,0.150636177,2.068286961,0.042256847,1
BY 54 leverage,-0.10352244,0.045673615,-2.266569863,0.026464962,1
BY 54 gold,-0.274115122,0.121697956,-2.252421746,0.027388559,1
BY 54 success,-0.346953162,0.144137119,-2.407104871,0.018682163,1
BY 54 oil,0.314912044,0.076288282,4.127921568,9.84E-05,1
BY 54 gain,0.296046619,0.124429769,2.379226622,0.020040012,1
BY 54 default,-0.29398138,0.127339262,-2.308646808,0.023878539,1
BY 54 present,-0.50772396,0.189214894,-2.68331921,0.009063248,1
BY 54 bubble,0.324873297,0.106701915,3.044681034,0.003266307,1
BY 54 kitchen,-0.654391477,0.222622932,-2.939461219,0.004433575,1
