C 295 ,Estimate,Std..Error,t.value,Pr...t..,
C 295 (Intercept),139.6211231,43.30204118,3.22435431,0.001909063,1
C 295 stocks,0.327270302,0.119600551,2.736361148,0.0078427,1
C 295 cancer,-0.602283926,0.166385054,-3.619819887,0.000548937,1
C 295 headlines,0.25346143,0.083143461,3.048483042,0.003230038,1
C 295 invest,1.0380958,0.219727315,4.724473147,1.13E-05,1
C 295 finance,-0.884572229,0.278669735,-3.174267304,0.002221601,1
C 295 risk,0.513666938,0.232444707,2.209845703,0.030341415,1
C 295 rich,0.262384178,0.123849199,2.118577914,0.037626487,1
C 295 leverage,-0.141424847,0.061443136,-2.301719216,0.024288339,1
C 295 success,-0.748633253,0.193902684,-3.860871013,0.000246635,1
C 295 bubble,-0.330311815,0.143542398,-2.301144605,0.024322608,1
C 295 conflict,-0.270695906,0.126323105,-2.142885143,0.035551061,1
C 295 lifestyle,0.395947334,0.090210079,4.389169596,3.88E-05,1
C 295 kitchen,-0.967072002,0.299486936,-3.229095784,0.001881717,1
