CO 18 ,Estimate,Std..Error,t.value,Pr...t..,
CO 18 (Intercept),20.0358605,37.69461979,0.531531041,0.596709967,1
CO 18 revenue,-0.265999669,0.105986354,-2.509753934,0.014363497,1
CO 18 dowjones,-0.653303452,0.193059504,-3.383948667,0.001166446,1
CO 18 return,0.343069769,0.163805963,2.094366792,0.039797562,1
CO 18 markets,0.679277114,0.261984792,2.592811239,0.011551544,1
CO 18 money,0.654440766,0.237481515,2.755754557,0.007435353,1
CO 18 stockmarket,0.491636678,0.235296781,2.089432232,0.040253138,1
CO 18 office,0.555139554,0.225410582,2.462792782,0.016213391,1
CO 18 success,-0.481658656,0.168793151,-2.853543846,0.005661305,1
CO 18 gain,0.353820594,0.14571467,2.428174148,0.017711122,1
CO 18 movie,-0.447652664,0.173602186,-2.578611917,0.011993803,1
CO 18 arts,-0.619840449,0.309559959,-2.002327599,0.049069906,1
CO 18 present,-0.631109215,0.221581909,-2.848198287,0.005747192,1
