D 232 ,Estimate,Std..Error,t.value,Pr...t..,
D 232 (Intercept),95.44270856,28.56272972,3.341512155,0.001375029,1
D 232 dowjones,-0.360351159,0.143490519,-2.511323833,0.014483543,1
D 232 money,0.500824807,0.173827644,2.881157422,0.005339721,1
D 232 cancer,0.308059712,0.113278444,2.719491027,0.008347296,1
D 232 society,-0.507777695,0.206882683,-2.45442338,0.016756156,1
D 232 happy,-0.318265232,0.11439281,-2.782213596,0.007032323,1
D 232 sell,-0.558607388,0.234728294,-2.37980423,0.02021981,1
D 232 risk,0.397312265,0.150868333,2.633503384,0.010516326,1
D 232 rich,0.344116834,0.098837159,3.481654451,0.00088886,1
D 232 travel,0.554898583,0.243956362,2.274581317,0.026187517,1
D 232 default,-0.248598664,0.109570705,-2.268842414,0.026553791,1
D 232 food,-0.528061231,0.134835611,-3.916333575,0.000215745,1
D 232 nyse,-0.360889214,0.134196077,-2.689267993,0.009058097,1
D 232 energy,-0.468293366,0.157121258,-2.980458359,0.004026453,1
D 232 crash,-0.106756047,0.051626384,-2.06785829,0.042576925,1
D 232 home,0.471202249,0.214003421,2.201844477,0.031176356,1
