E 155 ,Estimate,Std..Error,t.value,Pr...t..,
E 155 (Intercept),11.82397534,27.81767513,0.425052607,0.672083791,1
E 155 unemployment,-0.218114872,0.074523327,-2.926799973,0.004597519,1
E 155 investment,0.674617144,0.303349587,2.223893397,0.029337639,1
E 155 headlines,0.120685778,0.053412211,2.259516588,0.026921912,1
E 155 house,-0.535287124,0.186665625,-2.867625603,0.005440682,1
E 155 crisis,-0.194992981,0.096215949,-2.026618066,0.046458553,1
E 155 gain,0.254818936,0.107533737,2.369665017,0.020525592,1
E 155 default,0.382241157,0.110048157,3.473398986,0.000879536,1
E 155 gains,0.163421845,0.079008344,2.06841247,0.042244704,1
E 155 food,0.364145784,0.130199079,2.796838388,0.006635679,1
E 155 energy,0.322914983,0.153675882,2.10127301,0.039167461,1
E 155 shortselling,-0.234089937,0.097127529,-2.41012964,0.018539895,1
E 155 forex,0.175853657,0.083613283,2.103178471,0.038995143,1
E 155 fun,0.298828418,0.129451294,2.308423571,0.023891648,1
