EE 12 ,Estimate,Std..Error,t.value,Pr...t..,
EE 12 (Intercept),22.1047464,19.22316301,1.149901626,0.254042954,1
EE 12 marriage,-0.105052677,0.044044039,-2.385173577,0.019743189,1
EE 12 happy,0.186600045,0.074841515,2.493269193,0.014990026,1
EE 12 sell,0.329160176,0.158164369,2.081127234,0.041030085,1
EE 12 oil,0.138499313,0.045559851,3.039942174,0.003312044,1
EE 12 default,0.167187081,0.076047824,2.198446618,0.031177954,1
EE 12 gains,0.151194711,0.054598031,2.769233785,0.007163744,1
EE 12 nyse,-0.260450465,0.093825927,-2.775890116,0.007032999,1
EE 12 culture,0.42038814,0.13269282,3.168130278,0.002263031,1
EE 12 present,-0.308076017,0.113000348,-2.726328028,0.008061361,1
EE 12 financialmarkets,0.120576941,0.056053083,2.15112058,0.034870875,1
EE 12 labor,-0.111871836,0.040303432,-2.775739687,0.00703593,1
