G 348 ,Estimate,Std..Error,t.value,Pr...t..,
G 348 (Intercept),7.749748549,16.53278972,0.468750204,0.640684282,1
G 348 economics,-0.25110338,0.106648315,-2.354499274,0.021317283,1
G 348 cancer,-0.138214034,0.063526084,-2.175705249,0.032907428,1
G 348 headlines,0.064832564,0.031744308,2.042336624,0.044833146,1
G 348 bonds,0.12078428,0.044450243,2.717291755,0.008263051,1
G 348 office,0.319208256,0.098864659,3.228739754,0.001883757,1
G 348 invest,0.273715775,0.083892246,3.262706483,0.001698152,1
G 348 sell,0.284008162,0.136028512,2.087857596,0.040399462,1
G 348 banking,0.130735099,0.05296489,2.468335122,0.015984458,1
G 348 finance,-0.327425706,0.106396558,-3.077408824,0.002966129,1
G 348 car,0.271772883,0.124093834,2.190059529,0.031806293,1
G 348 risk,0.184128402,0.088747767,2.074738413,0.041636569,1
G 348 success,-0.199725527,0.07403236,-2.697813858,0.008713567,1
G 348 oil,0.113653451,0.039183533,2.900541178,0.004955547,1
G 348 gain,0.137831743,0.063910182,2.156647657,0.034420767,1
G 348 food,0.191041871,0.077380802,2.468853605,0.015963191,1
