GN 28 ,Estimate,Std..Error,t.value,Pr...t..,
GN 28 (Intercept),77.87742826,53.91129393,1.444547563,0.152983845,1
GN 28 credit,1.137365279,0.381591394,2.980584198,0.003937682,1
GN 28 dowjones,0.565766375,0.276116001,2.049016982,0.044157323,1
GN 28 unemployment,-0.301358299,0.144427921,-2.086565368,0.040519886,1
GN 28 finance,-0.841158137,0.346945446,-2.424468012,0.017878586,1
GN 28 chance,0.242687515,0.111812198,2.170492294,0.033315492,1
GN 28 oil,0.257792287,0.127772445,2.017589064,0.047414928,1
GN 28 gains,0.316281611,0.153119988,2.065580171,0.042519461,1
GN 28 buy,-0.56427957,0.256125889,-2.20313367,0.030831571,1
GN 28 lifestyle,0.275265436,0.112312074,2.45089798,0.016714679,1
GN 28 world,-0.226851119,0.112257621,-2.020808187,0.047072029,1
GN 28 fond,0.46629911,0.199959283,2.3319703,0.022543505,1
GN 28 fun,-0.726844849,0.250879583,-2.897186129,0.005003103,1
