H 333 ,Estimate,Std..Error,t.value,Pr...t..,
H 333 (Intercept),207.2468444,60.15071682,3.445459263,0.000961069,1
H 333 restaurant,-0.978981907,0.406531404,-2.408133536,0.018633672,1
H 333 economics,-1.166376061,0.388015132,-3.006006637,0.003657383,1
H 333 dowjones,-0.709852107,0.308072283,-2.304173882,0.024142427,1
H 333 religion,-0.632532624,0.30381583,-2.081960718,0.04095153,1
H 333 invest,0.721035871,0.305222459,2.362329012,0.020905221,1
H 333 fed,0.460562349,0.218844954,2.104514365,0.038874725,1
H 333 house,0.916735067,0.403630823,2.271221656,0.02616735,1
H 333 rich,0.405957369,0.172038498,2.359689108,0.021043355,1
H 333 gain,0.493170247,0.232522357,2.120958403,0.037418684,1
H 333 movie,-0.617590862,0.27702351,-2.229380679,0.028953541,1
H 333 culture,1.47081782,0.415205771,3.542382889,0.000705362,1
H 333 world,-0.250428249,0.125249755,-1.999431049,0.049389541,1
