I 363 ,Estimate,Std..Error,t.value,Pr...t..,
I 363 (Intercept),-19.26171144,43.8661077,-0.439102361,0.66192083,1
I 363 stocks,0.281106601,0.121158507,2.320155701,0.023211259,1
I 363 housing,-0.553631893,0.234669259,-2.359200755,0.021068996,1
I 363 credit,0.751106394,0.310490214,2.419098446,0.018123727,1
I 363 invest,0.697663847,0.222589555,3.134306314,0.002504636,1
I 363 food,0.763551633,0.205312874,3.718966165,0.000396405,1
I 363 culture,0.675254489,0.302797075,2.230056186,0.028906564,1
I 363 energy,0.507566113,0.242333795,2.09449166,0.039786092,1
I 363 freedom,0.344061603,0.162891608,2.112211966,0.03818713,1
I 363 transaction,0.377071372,0.179019337,2.106316441,0.038712797,1
