IB 58 ,Estimate,Std..Error,t.value,Pr...t..,
IB 58 (Intercept),223.1123853,166.2331034,1.342165794,0.183818484,1
IB 58 dowjones,-2.149082993,0.851391543,-2.524200539,0.013833931,1
IB 58 money,2.15738674,1.047292409,2.059965986,0.043068648,1
IB 58 stockmarket,2.610754223,1.037657742,2.516007077,0.014132075,1
IB 58 sell,-4.689081803,1.367732975,-3.428360571,0.001014439,1
IB 58 banking,-1.134934823,0.532548848,-2.131137504,0.036541322,1
IB 58 profit,-1.583816605,0.723147869,-2.190169774,0.031797963,1
IB 58 rich,1.887382033,0.475447258,3.969698007,0.00017027,1
IB 58 leverage,0.47375204,0.235875328,2.008484922,0.04839633,1
IB 58 movie,1.835829126,0.765584856,2.397943366,0.019119038,1
IB 58 earnings,-0.583571343,0.277405168,-2.103678702,0.038950014,1
IB 58 buy,-1.856714982,0.789752912,-2.351007451,0.021503367,1
IB 58 home,3.299230521,1.217915584,2.708915598,0.008454115,1
IB 58 train,1.653474086,0.680179686,2.430937178,0.017587188,1
IB 58 fun,-2.443954932,0.77357616,-3.159294533,0.00232395,1
