IG 19 ,Estimate,Std..Error,t.value,Pr...t..,
IG 19 (Intercept),347.4668734,593.0564891,0.585891698,0.559806198,1
IG 19 restaurant,-8.026406472,4.008199733,-2.002496633,0.049051308,1
IG 19 religion,-9.206226254,2.995474685,-3.073378086,0.00300166,1
IG 19 office,9.705576207,3.546426758,2.736719766,0.007834986,1
IG 19 cash,3.837507389,1.37281641,2.79535367,0.006663146,1
IG 19 banking,-4.099706546,1.899931744,-2.157817805,0.034326127,1
IG 19 nasdaq,-3.698531523,1.419830212,-2.60491113,0.011186394,1
IG 19 economy,-6.996399478,3.328121999,-2.102206434,0.039082966,1
IG 19 culture,12.9249253,4.093724732,3.157253148,0.002338241,1
IG 19 buy,-6.446979323,2.817538023,-2.28816054,0.025108451,1
IG 19 world,-3.158825895,1.234900993,-2.557958826,0.01266446,1
IG 19 consumption,7.039786457,1.861570851,3.781637671,0.000321851,1
IG 19 shortselling,-5.364771481,2.070701853,-2.590798609,0.011613318,1
