J 223 ,Estimate,Std..Error,t.value,Pr...t..,
J 223 (Intercept),95.8083712,31.05060083,3.085556113,0.002895506,1
J 223 economics,-0.685235216,0.200298577,-3.42106882,0.00103804,1
J 223 revenue,-0.193828908,0.087305297,-2.220127709,0.029603813,1
J 223 unemployment,-0.168334372,0.083184309,-2.023631303,0.046773067,1
J 223 invest,0.542203079,0.157559897,3.441250527,0.000973954,1
J 223 loss,-0.344743712,0.14473484,-2.381898595,0.019906161,1
J 223 finance,-0.480269734,0.199825747,-2.403442709,0.018855716,1
J 223 risk,0.357785599,0.166679159,2.146552695,0.035246733,1
J 223 success,-0.287958956,0.139041825,-2.071023989,0.041992726,1
J 223 gain,0.245395109,0.120031136,2.044428774,0.044620541,1
J 223 food,0.32472788,0.145330608,2.234408045,0.028605524,1
J 223 culture,0.529005939,0.214334747,2.468129626,0.015992894,1
J 223 lifestyle,0.131602078,0.064686954,2.034445437,0.045642924,1
J 223 fun,-0.506155169,0.144495916,-3.50290294,0.000800568,1
