JG 21 ,Estimate,Std..Error,t.value,Pr...t..,
JG 21 (Intercept),60.07696336,14.41093856,4.168844599,8.52E-05,1
JG 21 stocks,0.090835702,0.039803117,2.282125352,0.025481304,1
JG 21 economics,-0.209589436,0.092960858,-2.254598783,0.027244617,1
JG 21 housing,-0.217810121,0.077093785,-2.825261739,0.006129501,1
JG 21 cancer,-0.165628994,0.05537302,-2.991149747,0.003818854,1
JG 21 marriage,0.085187163,0.033018288,2.579999378,0.011949923,1
JG 21 bonds,0.105677397,0.038745411,2.727481672,0.008035938,1
JG 21 invest,0.318891783,0.073125348,4.360892507,4.30E-05,1
JG 21 finance,-0.230473552,0.092741412,-2.48512016,0.015308733,1
JG 21 car,0.294692559,0.108167384,2.72441238,0.008103739,1
JG 21 chance,0.074325312,0.029888333,2.486766709,0.01524385,1
JG 21 leverage,-0.046945758,0.020448303,-2.295826601,0.024641802,1
JG 21 success,-0.161295752,0.064530899,-2.499511909,0.014749925,1
JG 21 oil,0.072899722,0.03415464,2.134401682,0.03626379,1
JG 21 gain,0.1193429,0.055707822,2.142300601,0.035599776,1
JG 21 movie,-0.179963323,0.06636943,-2.711539383,0.008393836,1
JG 21 food,0.165234677,0.067449595,2.449750448,0.016763768,1
JG 21 culture,0.305366676,0.099475205,3.069776805,0.003033739,1
JG 21 financialmarkets,0.139687568,0.042021052,3.324228232,0.001404938,1
JG 21 trader,-0.125979451,0.054395547,-2.315988313,0.023450949,1
JG 21 fond,-0.110907427,0.053450784,-2.074944803,0.041616856,1
JG 21 kitchen,-0.209122155,0.099669385,-2.098158369,0.039450552,1
JG 21 dividend,0.098710874,0.045621485,2.163692698,0.033854397,1
JG 21 shortselling,-0.125447816,0.050316888,-2.493155289,0.014994439,1
JG 21 fun,-0.187533923,0.067062205,-2.796417473,0.006643455,1
