K 123 ,Estimate,Std..Error,t.value,Pr...t..,
K 123 (Intercept),129.4773369,71.30476195,1.815830155,0.119307546,1
K 123 stocks,0.419830754,0.16322412,2.572112231,0.042214875,1
K 123 housing,-1.25455443,0.494768567,-2.535638909,0.044340996,1
K 123 credit,-2.687836928,0.687889556,-3.907366966,0.007916396,1
K 123 marriage,0.781839934,0.302613731,2.58362346,0.041566513,1
K 123 sell,3.716290158,1.376613725,2.699588192,0.035595501,1
K 123 crisis,-0.522908249,0.159227659,-3.284028986,0.016738122,1
K 123 chance,-1.055648061,0.402111977,-2.625258934,0.039308351,1
K 123 default,1.859219615,0.575745533,3.229238454,0.017927644,1
K 123 food,1.376719199,0.458220355,3.00449158,0.023869467,1
K 123 buy,-1.139331356,0.368197081,-3.094351949,0.021269283,1
K 123 lifestyle,2.141993439,0.852612862,2.512269677,0.045762616,1
K 123 consumption,0.851893703,0.34359062,2.479385797,0.047845142,1
