KS 22 ,Estimate,Std..Error,t.value,Pr...t..,
KS 22 (Intercept),-8.727013888,37.54540028,-0.232438962,0.816865806,1
KS 22 economics,-0.754016479,0.242194677,-3.113266106,0.002666866,1
KS 22 inflation,0.315087625,0.12940064,2.434977333,0.017407366,1
KS 22 dowjones,-0.556074799,0.192295251,-2.89177604,0.005080676,1
KS 22 headlines,0.163060414,0.072090239,2.261893083,0.026767178,1
KS 22 office,0.746966132,0.224518262,3.326972716,0.001393039,1
KS 22 house,-0.713743001,0.251941816,-2.832967595,0.005998524,1
KS 22 war,-0.262720071,0.128376889,-2.04647482,0.044413461,1
KS 22 default,0.454731844,0.148531539,3.061517082,0.003108525,1
KS 22 shortselling,-0.282444346,0.131092622,-2.154540371,0.034591777,1
KS 22 garden,0.467242671,0.208047613,2.245844905,0.027827486,1
