L 244 ,Estimate,Std..Error,t.value,Pr...t..,
L 244 (Intercept),29.8283286,54.69653865,0.545342161,0.587227384,1
L 244 stocks,0.341385707,0.151072236,2.259751471,0.026906584,1
L 244 economics,-1.214718949,0.352831783,-3.442770772,0.000969281,1
L 244 revenue,-0.342843594,0.153790826,-2.229285086,0.028960195,1
L 244 invest,0.90689429,0.277546352,3.267541737,0.001673172,1
L 244 finance,-0.87368667,0.351998879,-2.48207231,0.015429491,1
L 244 house,-0.742214631,0.367031519,-2.022209519,0.046923426,1
L 244 risk,0.656295414,0.293610199,2.235260958,0.028546848,1
L 244 success,-0.789439562,0.244926229,-3.22317281,0.001915935,1
L 244 oil,0.258508544,0.129633514,1.994149017,0.049977007,1
L 244 gain,0.423178663,0.211438346,2.001428172,0.049168968,1
L 244 food,0.795575013,0.256004103,3.107665083,0.002711677,1
L 244 culture,0.840918914,0.377556906,2.227264025,0.029101176,1
L 244 present,-0.687411541,0.321525022,-2.137972143,0.03596232,1
