M 176 ,Estimate,Std..Error,t.value,Pr...t..,
M 176 (Intercept),69.72434042,NA,NA,NA,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
M 176 ,,,,,1
