MS 90 ,Estimate,Std..Error,t.value,Pr...t..,
MS 90 (Intercept),20.08522195,11.84575127,1.695563371,0.09434999,1
MS 90 dowjones,0.210467233,0.060670061,3.469046036,0.000891793,1
MS 90 unemployment,-0.068984014,0.031734672,-2.173774276,0.03305807,1
MS 90 cancer,-0.117483563,0.045516468,-2.58112216,0.011914519,1
MS 90 marriage,-0.055912084,0.027140941,-2.060064329,0.043058975,1
MS 90 stockmarket,-0.17373451,0.073943368,-2.349561771,0.021580831,1
MS 90 happy,0.138339531,0.046119048,2.999618106,0.003726024,1
MS 90 gain,0.118912949,0.045791674,2.596824683,0.011429246,1
MS 90 food,0.169377261,0.055443379,3.054959186,0.00316912,1
MS 90 trader,0.096524816,0.044712988,2.158764609,0.034249717,1
MS 90 labor,-0.074190098,0.024835894,-2.987212725,0.003862738,1
