MY 63 ,Estimate,Std..Error,t.value,Pr...t..,
MY 63 (Intercept),3.386877815,25.3243261,0.133740096,0.893986462,1
MY 63 economics,-0.435755098,0.16336001,-2.66745268,0.009460655,1
MY 63 credit,0.40829678,0.179248988,2.27781916,0.025750322,1
MY 63 return,-0.252281249,0.110049541,-2.292433438,0.024847396,1
MY 63 growth,0.509155647,0.197808829,2.573978368,0.012141405,1
MY 63 money,0.551222829,0.159546889,3.454926843,0.000932672,1
MY 63 invest,-0.292072343,0.128503092,-2.272881831,0.026061853,1
MY 63 ore,0.203509536,0.07449784,2.731750811,0.007942495,1
MY 63 gains,0.159309005,0.071926682,2.214880493,0.029978242,1
MY 63 nyse,-0.349563817,0.123604965,-2.828072632,0.006081422,1
MY 63 bubble,-0.191835873,0.083947879,-2.285178322,0.025292085,1
MY 63 opportunity,0.259535397,0.112140821,2.314370398,0.023544593,1
MY 63 fond,0.36611182,0.093929003,3.897750513,0.000217669,1
