N 169 ,Estimate,Std..Error,t.value,Pr...t..,
N 169 (Intercept),50.45937462,13.61964797,3.704895657,0.000434494,1
N 169 hedge,0.09957139,0.043753635,2.275728415,0.026114844,1
N 169 money,0.23099681,0.082886732,2.786897312,0.006942199,1
N 169 cancer,0.114888328,0.054014884,2.126975381,0.037164158,1
N 169 society,-0.239476219,0.098648461,-2.427571783,0.017935933,1
N 169 bonds,-0.081224065,0.037170195,-2.185193386,0.032429483,1
N 169 sell,-0.274197797,0.111926163,-2.449809678,0.016953775,1
N 169 rich,0.114812689,0.047128805,2.436146842,0.017551323,1
N 169 politics,0.10011992,0.036947382,2.709797443,0.008569514,1
N 169 financialmarkets,0.114867359,0.03922344,2.928538601,0.004670265,1
N 169 crash,-0.057119732,0.024617156,-2.320322096,0.023424401,1
