NC 39 ,Estimate,Std..Error,t.value,Pr...t..,
NC 39 (Intercept),0.865490894,36.30036753,0.023842483,0.981045136,1
NC 39 dowjones,-0.654332375,0.1859186,-3.519456219,0.000759254,1
NC 39 unemployment,-0.275297022,0.097248392,-2.830864527,0.006034012,1
NC 39 money,0.62615515,0.228697525,2.737918347,0.007809254,1
NC 39 investment,1.073318752,0.395852689,2.711409528,0.00839681,1
NC 39 headlines,0.196661617,0.069699675,2.821557177,0.006193399,1
NC 39 stockmarket,0.540576932,0.2265936,2.38566725,0.019718726,1
NC 39 office,0.927560207,0.217073073,4.273032083,5.89E-05,1
NC 39 cash,0.177149686,0.084028657,2.108205611,0.038543672,1
NC 39 house,-0.620493787,0.243587242,-2.54731644,0.013023118,1
NC 39 success,-0.411566402,0.162549813,-2.531940176,0.013557522,1
NC 39 war,-0.268785992,0.124119818,-2.165536461,0.033707521,1
NC 39 nyse,-0.479093217,0.177177692,-2.704026743,0.008567488,1
NC 39 culture,0.763005333,0.25057261,3.045046836,0.003262801,1
NC 39 lifestyle,0.220381515,0.075623664,2.914187227,0.004766394,1
NC 39 crash,-0.186079007,0.065890901,-2.824047095,0.006150385,1
NC 39 garden,0.672299166,0.201148603,3.34230095,0.001328308,1
