O 389 ,Estimate,Std..Error,t.value,Pr...t..,
O 389 (Intercept),3.902814829,44.45714458,0.087788248,0.930292115,1
O 389 money,0.986875164,0.280086391,3.523467025,0.000749553,1
O 389 cancer,0.375649206,0.170823457,2.19904931,0.031133223,1
O 389 invest,-0.471725492,0.22558865,-2.091086992,0.040099864,1
O 389 sell,-0.736934103,0.36578456,-2.014667057,0.047728034,1
O 389 default,-0.499556469,0.175874756,-2.840410304,0.00587447,1
O 389 gains,0.263118398,0.126268115,2.083807134,0.04077797,1
O 389 movie,0.544542586,0.204746924,2.659588602,0.009663452,1
O 389 food,-0.721492403,0.20807919,-3.467393371,0.000896489,1
O 389 fond,0.580961393,0.164893441,3.523253497,0.000750066,1
