OF 93 ,Estimate,Std..Error,t.value,Pr...t..,
OF 93 (Intercept),5.99056645,39.41504356,0.151986803,0.879628406,1
OF 93 stocks,0.217373931,0.108864636,1.996735941,0.049688547,1
OF 93 dowjones,-0.411575618,0.201870952,-2.038805558,0.045193955,1
OF 93 religion,-0.428520447,0.19908182,-2.152484074,0.034759362,1
OF 93 stockmarket,0.578692124,0.246035984,2.352062961,0.021446965,1
OF 93 default,-0.394394405,0.155927944,-2.529337552,0.013649909,1
OF 93 economy,-0.497381197,0.221189846,-2.24866198,0.027638727,1
OF 93 gains,0.308126853,0.111947433,2.752424452,0.007503892,1
OF 93 nyse,-0.450961292,0.192380048,-2.344116748,0.021874824,1
OF 93 culture,1.048275779,0.272072461,3.852928644,0.000253339,1
OF 93 lifestyle,0.180789709,0.082112392,2.201734775,0.030934597,1
OF 93 consumption,0.256945733,0.123721597,2.076805813,0.04143947,1
OF 93 kitchen,-0.610864477,0.272603561,-2.240852888,0.028164767,1
OF 93 forex,-0.241431496,0.118472201,-2.03787466,0.04528949,1
