OL 94 ,Estimate,Std..Error,t.value,Pr...t..,
OL 94 (Intercept),108.815804,43.52613162,2.500010912,0.014951573,1
OL 94 dowjones,0.54720457,0.220032419,2.486927031,0.015461868,1
OL 94 cancer,-0.410904488,0.172321819,-2.384518048,0.020028883,1
OL 94 stockmarket,-0.544001194,0.270469279,-2.011323415,0.048441426,1
OL 94 invest,0.734431963,0.263412173,2.788147391,0.00694475,1
OL 94 sell,0.868653687,0.366511657,2.370057458,0.020762733,1
OL 94 chance,0.27618889,0.095727488,2.88515759,0.00530255,1
OL 94 food,0.813220108,0.20541584,3.958896774,0.000189209,1
OL 94 tourism,-0.698530778,0.28202826,-2.476811287,0.015867094,1
OL 94 buy,-0.498958896,0.209993946,-2.37606324,0.020455087,1
OL 94 lifestyle,0.214738045,0.100841975,2.129451005,0.037009296,1
OL 94 fond,-0.406181044,0.162105876,-2.505652805,0.014736251,1
OL 94 consumption,0.415920875,0.133212139,3.122244545,0.002678669,1
