P 220 ,Estimate,Std..Error,t.value,Pr...t..,
P 220 (Intercept),-38.92867717,33.32756311,-1.168062515,0.246688939,1
P 220 growth,-0.594216874,0.260322277,-2.282620148,0.025450552,1
P 220 hedge,0.207654108,0.103331397,2.009593533,0.048275901,1
P 220 money,-0.609078498,0.209968431,-2.900809881,0.004951757,1
P 220 loss,0.336753301,0.155348347,2.167730184,0.033533493,1
P 220 car,-0.715160449,0.250154096,-2.858879627,0.005576756,1
P 220 risk,-0.357840073,0.178901859,-2.000203216,0.049304158,1
P 220 rich,0.198842691,0.095320957,2.086033304,0.04056956,1
P 220 water,0.762410965,0.241458739,3.157520688,0.002336363,1
P 220 oil,-0.162581716,0.07898798,-2.058309583,0.043231844,1
P 220 economy,-0.729453026,0.187028045,-3.900233381,0.000215841,1
P 220 arts,-0.594063387,0.273696329,-2.170520115,0.033313302,1
P 220 energy,0.484791913,0.184114691,2.633097396,0.010376052,1
P 220 financialmarkets,0.277820139,0.097180296,2.858811412,0.005577829,1
P 220 trader,0.42489008,0.125798262,3.377551276,0.001190037,1
P 220 buy,0.41881194,0.15833513,2.645098027,0.010047524,1
P 220 consumption,0.665976499,0.10461334,6.366076257,1.67E-08,1
P 220 dividend,0.221431273,0.105506863,2.098738097,0.039397726,1
P 220 fun,0.313925713,0.155091903,2.024127035,0.046720739,1
