PH 37 ,Estimate,Std..Error,t.value,Pr...t..,
PH 37 (Intercept),26.0541144,19.33423457,1.347563789,0.182083264,1
PH 37 stocks,0.114775084,0.053401296,2.149293975,0.035020752,1
PH 37 economics,-0.26793491,0.124719637,-2.148297704,0.035102734,1
PH 37 invest,0.382441877,0.098107603,3.89818797,0.000217346,1
PH 37 finance,-0.353176821,0.124425221,-2.838466503,0.005906639,1
PH 37 car,0.303430936,0.145121261,2.090878584,0.04011914,1
PH 37 risk,0.256576047,0.103785881,2.472167163,0.015827873,1
PH 37 rich,0.123389861,0.055298305,2.231349797,0.028816789,1
PH 37 success,-0.422083627,0.086576981,-4.875240782,6.41E-06,1
PH 37 gain,0.160854741,0.074739621,2.15220171,0.034782429,1
PH 37 movie,-0.194974648,0.089043619,-2.189653218,0.031837013,1
PH 37 food,0.236813048,0.090492808,2.616926719,0.010834178,1
PH 37 greed,-0.110246171,0.046720537,-2.359694022,0.021043097,1
