Q 337 ,Estimate,Std..Error,t.value,Pr...t..,
Q 337 (Intercept),-5697.887531,NA,NA,NA,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
Q 337 ,,,,,1
