R 118 ,Estimate,Std..Error,t.value,Pr...t..,
R 118 (Intercept),-11.37154406,17.71784247,-0.641813137,0.523061293,1
R 118 stocks,0.118604275,0.048936809,2.423620921,0.017917061,1
R 118 economics,-0.334256851,0.114292752,-2.924567339,0.004627003,1
R 118 revenue,-0.144890836,0.049817442,-2.908435915,0.004845287,1
R 118 invest,0.248270039,0.089905553,2.761453895,0.007319379,1
R 118 sell,0.328570755,0.145778891,2.253898032,0.027290877,1
R 118 metals,0.187822512,0.076922688,2.44170501,0.017111576,1
R 118 risk,0.241084502,0.095109113,2.534820225,0.013455944,1
R 118 success,-0.274187346,0.079338921,-3.455899624,0.000929799,1
R 118 default,-0.1498136,0.070092698,-2.137363861,0.036013525,1
R 118 fond,0.185560502,0.065716232,2.823663153,0.006156999,1
