RK 30 ,Estimate,Std..Error,t.value,Pr...t..,
RK 30 (Intercept),-15.50541239,NA,NA,NA,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
RK 30 ,,,,,1
