RW 40 ,Estimate,Std..Error,t.value,Pr...t..,
RW 40 (Intercept),-4.140899864,25.20763915,-0.164271626,0.86998408,1
RW 40 stocks,0.151988563,0.069623682,2.183000934,0.03234367,1
RW 40 economics,-0.356908249,0.162607296,-2.194909191,0.03144163,1
RW 40 revenue,-0.146626772,0.070876581,-2.068761929,0.04221091,1
RW 40 inflation,0.197861758,0.086878409,2.27745605,0.02577312,1
RW 40 cancer,-0.294034097,0.096858584,-3.035705096,0.003353441,1
RW 40 bonds,0.219048651,0.067773541,3.232067405,0.001864766,1
RW 40 invest,0.405869191,0.127910988,3.173059617,0.002229697,1
RW 40 happy,0.296219936,0.098140869,3.018313777,0.00352845,1
RW 40 car,0.508093004,0.189206579,2.685387624,0.009012577,1
RW 40 house,0.35749207,0.169151436,2.113443892,0.038078073,1
RW 40 risk,0.311107834,0.135314229,2.299150923,0.02444184,1
RW 40 leverage,-0.071557413,0.035768208,-2.000587043,0.049261763,1
RW 40 success,-0.271475812,0.112877563,-2.405046707,0.018779525,1
RW 40 economy,-0.32336665,0.141460552,-2.285913954,0.025246677,1
RW 40 food,0.286451696,0.117982951,2.427907527,0.017723123,1
RW 40 arts,-0.628551189,0.207012984,-3.036288723,0.00334771,1
RW 40 culture,0.425670233,0.174002203,2.446349671,0.016910005,1
RW 40 present,-0.318916851,0.148179152,-2.152238324,0.034779437,1
RW 40 kitchen,-0.400498706,0.174341865,-2.297203296,0.024558817,1
