S 106 ,Estimate,Std..Error,t.value,Pr...t..,
S 106 (Intercept),-18.31025644,38.5254994,-0.47527629,0.636048971,1
S 106 unemployment,-0.277090839,0.103209502,-2.684741561,0.009028376,1
S 106 marriage,-0.178783479,0.088269479,-2.02542805,0.046583647,1
S 106 invest,-0.555474489,0.195489735,-2.84145093,0.005857314,1
S 106 sell,-1.01767258,0.316980161,-3.210524522,0.001990968,1
S 106 gains,0.505830573,0.109420931,4.622795344,1.65E-05,1
S 106 movie,0.36970761,0.177428793,2.083695684,0.040788428,1
S 106 food,-0.518165,0.180316455,-2.873642348,0.005348855,1
S 106 world,-0.166437725,0.080220313,-2.074757843,0.041634713,1
S 106 fond,0.46420447,0.142892717,3.24862233,0.001772926,1
S 106 train,0.34274089,0.157635643,2.174260114,0.033020111,1
