SH 41 ,Estimate,Std..Error,t.value,Pr...t..,
SH 41 (Intercept),22.29338976,20.12216595,1.107902093,0.271643235,1
SH 41 credit,0.360946443,0.142427399,2.534248648,0.013476048,1
SH 41 return,-0.247010059,0.087443003,-2.824812151,0.006137223,1
SH 41 unemployment,-0.164209204,0.05390712,-3.046150556,0.003252244,1
SH 41 invest,0.244996353,0.102105799,2.399436232,0.019047233,1
SH 41 banking,0.181736162,0.064463913,2.81919222,0.006234511,1
SH 41 rich,0.138843362,0.057551886,2.412490212,0.018429541,1
SH 41 success,-0.253725107,0.090105267,-2.81587431,0.006292611,1
SH 41 default,-0.189302632,0.079604326,-2.378044534,0.020099484,1
SH 41 gains,0.118462174,0.057151398,2.072778252,0.041824192,1
SH 41 consumption,0.16271308,0.063162343,2.576108975,0.012073332,1
