SX 64 ,Estimate,Std..Error,t.value,Pr...t..,
SX 64 (Intercept),9.886433302,12.44890937,0.794160598,0.429748376,1
SX 64 housing,-0.234455468,0.066597574,-3.520480623,0.000756765,1
SX 64 revenue,-0.074841065,0.035002728,-2.138149517,0.0359474,1
SX 64 inflation,0.180397971,0.042905305,4.204561002,7.51E-05,1
SX 64 hedge,-0.123997281,0.038597577,-3.212566405,0.001978672,1
SX 64 investment,0.344296269,0.13575439,2.536170427,0.01340856,1
SX 64 bonds,0.070221048,0.033470277,2.098012148,0.039463885,1
SX 64 finance,-0.168331899,0.080114798,-2.101133672,0.039180088,1
SX 64 car,0.262278408,0.093440545,2.806901514,0.006452237,1
SX 64 risk,0.172666207,0.066825559,2.583834849,0.011829375,1
SX 64 success,-0.145771755,0.055745108,-2.614969478,0.010890856,1
SX 64 freedom,0.134431479,0.046227554,2.908037907,0.004850791,1
SX 64 transaction,0.112881238,0.050804496,2.221874974,0.029480047,1
SX 64 fun,-0.187367752,0.05793178,-3.234282694,0.001852223,1
