T 249 ,Estimate,Std..Error,t.value,Pr...t..,
T 249 (Intercept),-22.77199294,29.04814054,-0.783939781,0.435683002,1
T 249 unemployment,-0.239944712,0.077819734,-3.083340175,0.002914558,1
T 249 stockmarket,0.547288291,0.18132386,3.018291644,0.003528678,1
T 249 bonds,-0.257597343,0.078099156,-3.298337109,0.001521999,1
T 249 invest,-0.312013256,0.147398824,-2.116796106,0.037782684,1
T 249 rich,0.197522468,0.083081279,2.377460624,0.020128919,1
T 249 water,0.504071524,0.210454253,2.395159596,0.01925358,1
T 249 gains,0.31219543,0.082503138,3.7840431,0.000319275,1
T 249 food,-0.360312744,0.135958204,-2.650172867,0.009911463,1
T 249 opportunity,0.298896537,0.128630563,2.323682095,0.023010137,1
T 249 lifestyle,0.169778223,0.060515278,2.805543154,0.006476723,1
T 249 consume,0.258510486,0.112437957,2.299138938,0.024442559,1
T 249 train,0.243760624,0.118856923,2.050874436,0.04397098,1
