V 285 ,Estimate,Std..Error,t.value,Pr...t..,
V 285 (Intercept),55.00785508,52.49519866,1.0478645,0.298255098,1
V 285 economics,-0.840591227,0.338631566,-2.482317986,0.015419725,1
V 285 housing,-0.589136659,0.28083206,-2.09782551,0.03948091,1
V 285 inflation,0.397986271,0.180925286,2.199727186,0.03108298,1
V 285 dowjones,-0.579833706,0.268863225,-2.156612184,0.03442364,1
V 285 cancer,-0.512406971,0.201709116,-2.540326294,0.013263657,1
V 285 stockmarket,0.666560373,0.327684728,2.034151474,0.045673331,1
V 285 office,0.725187081,0.31391677,2.31012533,0.023791874,1
V 285 gains,-0.362114016,0.149097964,-2.428698591,0.017687539,1
V 285 arts,-0.893527401,0.431106922,-2.072635245,0.041837909,1
V 285 trader,0.456344257,0.198148444,2.30304235,0.024209592,1
