W 177 ,Estimate,Std..Error,t.value,Pr...t..,
W 177 (Intercept),65.08823595,34.03063351,1.912636623,0.065383656,1
W 177 dowjones,-0.440546679,0.203671251,-2.163028301,0.038634541,1
W 177 unemployment,0.2465332,0.079025238,3.119676765,0.003979678,1
W 177 stockmarket,0.651854109,0.2918558,2.233480057,0.033124545,1
W 177 office,0.413389619,0.186932666,2.211435959,0.034767585,1
W 177 metals,0.336346749,0.121218814,2.774707479,0.009416861,1
W 177 house,0.57175114,0.239947,2.382822627,0.023715863,1
W 177 success,-0.540405266,0.146190487,-3.696582974,0.000872605,1
W 177 default,-0.314220148,0.118101971,-2.660583433,0.012403886,1
W 177 gains,-0.448615872,0.097407185,-4.60557269,7.08E-05,1
W 177 energy,-0.346330127,0.155901662,-2.221465268,0.034011199,1
