WA 66 ,Estimate,Std..Error,t.value,Pr...t..,
WA 66 (Intercept),65.07615833,29.27776055,2.222716393,0.029420608,1
WA 66 economics,-0.440931753,0.188862489,-2.334670875,0.022393285,1
WA 66 credit,0.443562668,0.20723193,2.140416629,0.035757181,1
WA 66 revenue,-0.189762695,0.082320583,-2.305167036,0.024083612,1
WA 66 dowjones,-0.509137648,0.149951106,-3.395357732,0.001125465,1
WA 66 money,0.474801498,0.184454093,2.574090331,0.012137819,1
WA 66 stockmarket,0.411949018,0.18275719,2.254078306,0.02727897,1
WA 66 invest,0.349405774,0.148563983,2.351887492,0.021456333,1
WA 66 house,0.40048821,0.196463271,2.038488963,0.045226427,1
WA 66 rich,0.299267725,0.08373802,3.573857181,0.000637263,1
WA 66 success,-0.293889618,0.131103204,-2.241666168,0.028109574,1
WA 66 nyse,-0.4007206,0.142901199,-2.80417942,0.006501393,1
WA 66 culture,0.427190138,0.202097262,2.113784892,0.038047933,1
WA 66 kitchen,-0.416049289,0.202491766,-2.054647934,0.043594502,1
WA 66 forex,-0.311955202,0.088001951,-3.54486689,0.000699746,1
