X 136 ,Estimate,Std..Error,t.value,Pr...t..,
X 136 (Intercept),35.07993531,26.504656,1.323538601,0.189902398,1
X 136 dowjones,0.365411102,0.135748172,2.691830727,0.00885639,1
X 136 unemployment,-0.191393843,0.07100576,-2.695469276,0.008769282,1
X 136 cancer,-0.295508118,0.10184228,-2.901625118,0.004940273,1
X 136 investment,0.717246793,0.289031215,2.481554778,0.015450081,1
X 136 marriage,-0.128047465,0.060727368,-2.108562737,0.038511773,1
X 136 stockmarket,-0.343673164,0.165446959,-2.077240736,0.041398109,1
X 136 happy,0.360466694,0.103190543,3.493214447,0.000825727,1
X 136 profit,-0.232312243,0.115300654,-2.014838906,0.047709571,1
X 136 finance,-0.353269304,0.170570377,-2.071105843,0.041984849,1
X 136 oil,0.181501922,0.062817351,2.889359684,0.00511568,1
X 136 gain,0.283372539,0.102458049,2.765742097,0.007233215,1
X 136 default,0.259130374,0.104853786,2.471349721,0.015861159,1
X 136 gains,0.239571187,0.07527908,3.182440426,0.002167528,1
X 136 food,0.331972113,0.124053567,2.676038444,0.00924368,1
X 136 culture,0.522288582,0.182955195,2.854734906,0.00564233,1
X 136 labor,-0.152022088,0.055569867,-2.735692869,0.007857094,1
