Z 371 ,Estimate,Std..Error,t.value,Pr...t..,
Z 371 (Intercept),-33.19240923,58.83508706,-0.564160111,0.574423044,1
Z 371 stocks,0.325327427,0.162502937,2.001978758,0.049108306,1
Z 371 housing,-0.715770571,0.314748379,-2.274104076,0.025984424,1
Z 371 credit,1.024402898,0.416442664,2.459889404,0.016334489,1
Z 371 dowjones,0.611578259,0.301334058,2.029568988,0.046149601,1
Z 371 invest,0.748716843,0.298546566,2.5078729,0.014433777,1
Z 371 loss,-0.766217535,0.27424548,-2.793911266,0.00668993,1
Z 371 risk,0.640786972,0.315825865,2.028924936,0.04621688,1
Z 371 success,-0.595265281,0.26345828,-2.259429009,0.02692763,1
Z 371 lifestyle,-0.383210713,0.122569691,-3.126472035,0.002563934,1
Z 371 consume,0.546714912,0.227735645,2.400655869,0.018988749,1
Z 371 fun,-0.601680976,0.273792763,-2.197578085,0.031242513,1
