A 283 ,Estimate,Std..Error,t.value,Pr...t..,
A 283 ,(Intercept),232.7754454,NA,NA,NA,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
A 283 ,,,,,,1
