AAL 1 ,Estimate,Std..Error,t.value,Pr...t..,
AAL 1 ,bonds,0.306315004,0.085588066,3.578945251,0.00302216,1
AAL 1 ,trader,-0.564848599,0.177590723,-3.180619957,0.006672813,1
AAL 1 ,portfolio,-0.489100856,0.15504142,-3.154646391,0.007026442,1
AAL 1 ,risk,-0.502048101,0.168992213,-2.970835717,0.010119691,1
AAL 1 ,inflation,0.299679566,0.115441203,2.595949788,0.021143322,1
AAL 1 ,hedge,-0.304798575,0.122300119,-2.492218146,0.025852302,1
AAL 1 ,nasdaq,-0.174900281,0.071604489,-2.442588212,0.028446454,1
AAL 1 ,opportunity,0.360257686,0.161244219,2.234236299,0.042291354,1
AAL 1 ,growth,0.472267473,0.215580814,2.190674874,0.045895079,1
AAL 1 ,(Intercept),16.43531559,40.96035414,0.401249353,0.694294038,1
