AAP 2 ,Estimate,Std..Error,t.value,Pr...t..,
AAP 2 ,(Intercept),115.0497842,79.30975533,1.450638496,0.152088624,1
AAP 2 ,housing,-1.200654557,0.502844396,-2.387725837,0.02011903,1
AAP 2 ,money,1.40851661,0.481588639,2.924729733,0.004859356,1
AAP 2 ,headlines,-0.405691697,0.149415774,-2.715186524,0.008638077,1
AAP 2 ,office,0.977470626,0.461587018,2.117630235,0.038359364,1
AAP 2 ,risk,1.01107608,0.413523232,2.445028483,0.017437042,1
AAP 2 ,rich,0.880857857,0.296845458,2.967395432,0.004308751,1
AAP 2 ,default,-0.691403265,0.301099716,-2.296260105,0.025169048,1
AAP 2 ,gains,0.458349636,0.214254202,2.139279561,0.036491183,1
AAP 2 ,food,-1.259356833,0.400287936,-3.146127375,0.0025749,1
AAP 2 ,bubble,-0.524661459,0.249194134,-2.105432625,0.039448213,1
AAP 2 ,politics,-0.54105361,0.227024908,-2.383234571,0.020344082,1
AAP 2 ,lifestyle,0.548711455,0.185825751,2.952827855,0.004489875,1
AAP 2 ,freedom,-0.741923413,0.290524745,-2.553735701,0.013215975,1
AAP 2 ,garden,1.156180842,0.470468084,2.457511746,0.016897229,1
AAP 2 ,fun,-0.837170215,0.380011374,-2.203013576,0.031445241,1
