ABM 6 ,Estimate,Std..Error,t.value,Pr...t..,
ABM 6 ,(Intercept),23.14576049,16.1371057,1.434319197,0.155871137,1
ABM 6 ,stocks,0.108033576,0.044570803,2.423864266,0.017906001,1
ABM 6 ,revenue,-0.093611335,0.045372868,-2.063156691,0.042755783,1
ABM 6 ,finance,-0.268413316,0.103850138,-2.58462165,0.011804783,1
ABM 6 ,risk,0.185635299,0.086623741,2.143007169,0.035540899,1
ABM 6 ,rich,0.135288223,0.04615412,2.931227409,0.004539563,1
ABM 6 ,chance,0.083397242,0.03346841,2.491819704,0.015046275,1
ABM 6 ,food,0.197039387,0.075528825,2.608797208,0.01107136,1
ABM 6 ,arts,-0.371401464,0.132522938,-2.802544747,0.006531077,1
ABM 6 ,lifestyle,-0.067301873,0.033618036,-2.001957326,0.049110667,1
ABM 6 ,freedom,0.122060999,0.059923235,2.036956086,0.045383932,1
