ABT 7 ,Estimate,Std..Error,t.value,Pr...t..,
ABT 7 ,(Intercept),5.859414405,14.51441888,0.403696108,0.687649507,1
ABT 7 ,credit,0.423167686,0.10273501,4.11902121,0.000101498,1
ABT 7 ,revenue,-0.090715541,0.040810342,-2.222856662,0.029410709,1
ABT 7 ,unemployment,-0.152519543,0.038884011,-3.922423097,0.000200143,1
ABT 7 ,invest,0.221114717,0.073650438,3.002218633,0.00369794,1
ABT 7 ,loss,-0.144689966,0.067655441,-2.138630152,0.035907,1
ABT 7 ,happy,0.118238258,0.056508968,2.092380409,0.039980412,1
ABT 7 ,profit,-0.148217041,0.063140679,-2.347409667,0.021696607,1
ABT 7 ,success,-0.130399182,0.064994275,-2.006317966,0.048632473,1
ABT 7 ,gain,0.171024027,0.056107842,3.048130564,0.003233385,1
ABT 7 ,default,0.12223171,0.057419789,2.128738398,0.036746479,1
ABT 7 ,gains,0.083302879,0.041224157,2.020729715,0.047080362,1
ABT 7 ,food,0.213740626,0.067933929,3.146301535,0.002416322,1
ABT 7 ,kitchen,-0.22605218,0.100385079,-2.25185039,0.027426447,1
ABT 7 ,forex,0.116862853,0.043626874,2.678689562,0.009177604,1
