ADM 9 ,Estimate,Std..Error,t.value,Pr...t..,
ADM 9 ,(Intercept),59.40115906,24.16462761,2.458186405,0.016405897,1
ADM 9 ,dowjones,-0.439293499,0.123763313,-3.549464606,0.000689463,1
ADM 9 ,hedge,0.157158624,0.074921912,2.097632335,0.039498538,1
ADM 9 ,money,0.396398509,0.152240622,2.603763065,0.011220585,1
ADM 9 ,society,-0.368265252,0.174868394,-2.105956612,0.038745083,1
ADM 9 ,headlines,0.111961747,0.046398061,2.413069504,0.018402549,1
ADM 9 ,stockmarket,0.39158182,0.15084007,2.596006618,0.011454079,1
ADM 9 ,ore,0.178164018,0.071086297,2.506306066,0.014492554,1
ADM 9 ,profit,0.22784992,0.105121054,2.167500344,0.03355169,1
ADM 9 ,risk,0.315539218,0.129715358,2.432550948,0.017515162,1
ADM 9 ,nasdaq,0.131419339,0.057852277,2.271636402,0.026140959,1
ADM 9 ,bubble,0.165810001,0.080103582,2.069944907,0.042096685,1
ADM 9 ,energy,-0.317749172,0.133494997,-2.380232808,0.019989514,1
ADM 9 ,buy,-0.264302593,0.114803157,-2.302224086,0.024258264,1
ADM 9 ,lifestyle,0.158993162,0.050341575,3.158287404,0.00233099,1
ADM 9 ,greed,-0.164431451,0.058393021,-2.815943534,0.006291394,1
ADM 9 ,world,-0.126543813,0.050317167,-2.514923234,0.014171945,1
ADM 9 ,fond,0.223035418,0.089627632,2.488467153,0.015177103,1
ADM 9 ,shortselling,-0.219034957,0.084372636,-2.596042601,0.011452985,1
ADM 9 ,home,0.497511304,0.177043416,2.810109038,0.006394753,1
ADM 9 ,train,0.224200392,0.098874944,2.26751473,0.02640427,1
