LL 24 ,Estimate,Std..Error,t.value,Pr...t..,
LL 24 ,(Intercept),66.02848932,27.83461242,2.37217204,0.020397272,1
LL 24 ,unemployment,-0.281590259,0.074568702,-3.776252648,0.00032769,1
LL 24 ,hedge,0.197656918,0.086300621,2.290330191,0.024975594,1
LL 24 ,invest,0.536778267,0.141241024,3.80044162,0.000302232,1
LL 24 ,oil,0.190269989,0.065969414,2.884215228,0.005190948,1
LL 24 ,gain,0.262591224,0.107599211,2.44045677,0.017166114,1
LL 24 ,gains,0.212591656,0.07905645,2.689112097,0.008921989,1
LL 24 ,food,0.30688832,0.130278354,2.355635543,0.021257039,1
LL 24 ,culture,0.656793587,0.192135561,3.418386388,0.001046852,1
LL 24 ,financialmarkets,0.202941814,0.081163326,2.50041274,0.014715566,1
LL 24 ,fond,-0.264260783,0.103239762,-2.559680279,0.012607292,1
