AT 27 ,Estimate,Std..Error,t.value,Pr...t..,
AT 27 ,(Intercept),32.74287602,17.97483465,1.821595394,0.072728744,1
AT 27 ,stocks,0.123527759,0.049646624,2.488140184,0.015189917,1
AT 27 ,economics,-0.280562496,0.115950536,-2.419673998,0.018097308,1
AT 27 ,housing,-0.305357292,0.096159458,-3.175530508,0.002213162,1
AT 27 ,cancer,-0.332876349,0.06906704,-4.819612184,7.91E-06,1
AT 27 ,investment,0.636419426,0.196014176,3.246803057,0.001782807,1
AT 27 ,bonds,0.172709534,0.048327341,3.573743738,0.000637496,1
AT 27 ,invest,0.496996866,0.091209607,5.448953045,6.92E-07,1
AT 27 ,happy,0.15064295,0.0699814,2.152614108,0.034748743,1
AT 27 ,sell,0.340474085,0.147893371,2.302159201,0.024262128,1
AT 27 ,banking,0.153701274,0.057584664,2.669135528,0.009417765,1
AT 27 ,profit,-0.168646513,0.078194193,-2.156765178,0.034411252,1
AT 27 ,finance,-0.319532702,0.11567682,-2.762288097,0.007302544,1
AT 27 ,car,0.379871931,0.134917711,2.815582398,0.006297747,1
AT 27 ,risk,0.20004184,0.096488643,2.073216433,0.041782186,1
AT 27 ,water,-0.334400247,0.130227971,-2.567806633,0.012340559,1
AT 27 ,travel,-0.383655386,0.153260491,-2.503289554,0.01460632,1
AT 27 ,leverage,-0.065114121,0.025505269,-2.552967435,0.012831548,1
AT 27 ,success,-0.359615357,0.080489709,-4.467842687,2.92E-05,1
AT 27 ,war,-0.135737619,0.061460348,-2.208539717,0.030436247,1
AT 27 ,oil,0.103253704,0.042601251,2.42372469,0.017912344,1
AT 27 ,gain,0.183657617,0.06948464,2.643139776,0.010100479,1
AT 27 ,gains,-0.128033753,0.051052502,-2.507883983,0.014433362,1
AT 27 ,movie,-0.181240943,0.082782917,-2.189351982,0.031859805,1
AT 27 ,food,0.449250997,0.084130213,5.339948428,1.06E-06,1
AT 27 ,buy,-0.173300434,0.085396216,-2.029369004,0.046170483,1
AT 27 ,fond,-0.142446129,0.066669427,-2.136603486,0.036077623,1
