MK 38 ,Estimate,Std..Error,t.value,Pr...t..,
MK 38 ,(Intercept),-24.15417056,NA,NA,NA,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
MK 38 ,,,,,,1
