VT 43 ,Estimate,Std..Error,t.value,Pr...t..,
VT 43 ,(Intercept),3.341421746,22.29474036,0.149874889,0.881288265,1
VT 43 ,economics,-0.287024565,0.143817016,-1.995762203,0.049796958,1
VT 43 ,inflation,0.172521033,0.076839071,2.245225395,0.027869148,1
VT 43 ,dowjones,-0.247169777,0.114186362,-2.164617313,0.033780672,1
VT 43 ,marriage,-0.109400445,0.051081625,-2.141679032,0.035651641,1
VT 43 ,stockmarket,0.317070492,0.139167888,2.278330842,0.025718225,1
VT 43 ,office,0.396253407,0.133320628,2.972183762,0.004034597,1
VT 43 ,happy,0.272587008,0.086800084,3.140400292,0.0024594,1
VT 43 ,car,0.413503669,0.167342587,2.471000821,0.015875386,1
VT 43 ,crisis,-0.167938655,0.077113188,-2.177820157,0.032743125,1
VT 43 ,economy,-0.439702075,0.125113909,-3.514413998,0.000771619,1
VT 43 ,earnings,-0.081660766,0.037204841,-2.19489626,0.031442598,1
VT 43 ,arts,-0.712382275,0.183091352,-3.890857034,0.000222823,1
VT 43 ,culture,0.541864329,0.153895171,3.520996299,0.000755515,1
VT 43 ,trader,0.2077155,0.084153755,2.468285573,0.015986492,1
VT 43 ,kitchen,-0.342924962,0.154195583,-2.223960998,0.02933288,1
