XE 45 ,Estimate,Std..Error,t.value,Pr...t..,
XE 45 ,(Intercept),154.1734145,52.73985706,2.923280856,0.004644072,1
XE 45 ,economics,-1.115870519,0.340209788,-3.279948315,0.001610646,1
XE 45 ,dowjones,-1.009033295,0.270116285,-3.735551508,0.000375211,1
XE 45 ,stockmarket,0.976455657,0.329211931,2.966039698,0.004106875,1
XE 45 ,invest,0.923762714,0.267617574,3.451801396,0.000941957,1
XE 45 ,risk,0.568259607,0.283106761,2.007227254,0.048533264,1
XE 45 ,gain,0.513899088,0.203874476,2.520664177,0.01396191,1
XE 45 ,arts,-0.913658114,0.433116133,-2.109499148,0.03842824,1
XE 45 ,culture,0.980251229,0.364050409,2.692624992,0.008837308,1
XE 45 ,kitchen,-0.920559659,0.364761054,-2.52373341,0.013850775,1
