XP 46 ,Estimate,Std..Error,t.value,Pr...t..,
XP 46 ,(Intercept),91.65219397,41.16805851,2.226293813,0.029169068,1
XP 46 ,stocks,0.236340701,0.113706476,2.078515748,0.041277061,1
XP 46 ,economics,-0.792626536,0.265563413,-2.984697808,0.003891015,1
XP 46 ,dowjones,-0.577421581,0.21084932,-2.738550828,0.007795706,1
XP 46 ,cancer,-0.339855123,0.158185375,-2.148461092,0.035089278,1
XP 46 ,stockmarket,0.608493317,0.256978627,2.3678752,0.020617643,1
XP 46 ,invest,0.709033861,0.208898858,3.394149048,0.001129741,1
XP 46 ,gain,0.36978463,0.159141811,2.323617082,0.023013831,1
XP 46 ,nyse,-0.519078344,0.200936301,-2.583297998,0.011846182,1
XP 46 ,culture,1.07108011,0.284173097,3.769111575,0.000335589,1
XP 46 ,present,-0.494590913,0.241999974,-2.043764321,0.044687969,1
XP 46 ,lifestyle,0.22022809,0.085764405,2.567826251,0.012339922,1
XP 46 ,kitchen,-0.576401389,0.284727818,-2.024394361,0.046692542,1
