B 158 ,Estimate,Std..Error,t.value,Pr...t..,
B 158 ,(Intercept),20.61921007,17.06161482,1.208514569,0.230859004,1
B 158 ,dowjones,-0.214715325,0.087384006,-2.457146725,0.016449629,1
B 158 ,stockmarket,0.230802888,0.106501752,2.167127624,0.033581216,1
B 158 ,office,0.226952984,0.102026988,2.224440694,0.02929913,1
B 158 ,economy,-0.293837212,0.095746588,-3.068905291,0.00304155,1
B 158 ,earnings,-0.058485415,0.028471947,-2.054141748,0.043644842,1
B 158 ,culture,0.352347603,0.117772178,2.99177283,0.003811951,1
B 158 ,buy,-0.179942078,0.081057622,-2.219927932,0.029617993,1
B 158 ,opportunity,0.218529673,0.075552,2.892440592,0.005071088,1
B 158 ,world,-0.084340685,0.03552681,-2.37400108,0.020304104,1
B 158 ,fond,-0.16580835,0.063282255,-2.620139703,0.010741716,1
B 158 ,consumption,0.240057888,0.053555446,4.482417861,2.77E-05,1
B 158 ,forex,-0.143848884,0.051283136,-2.804993871,0.006486649,1
