BA 50 ,Estimate,Std..Error,t.value,Pr...t..,
BA 50 ,(Intercept),67.77599639,87.15156095,0.777679661,0.439341603,1
BA 50 ,stocks,0.626657316,0.240713243,2.603335442,0.011233344,1
BA 50 ,economics,-1.61282201,0.562189882,-2.868820769,0.005422327,1
BA 50 ,housing,-1.300960515,0.466232208,-2.79037032,0.006756102,1
BA 50 ,credit,1.697984552,0.616870478,2.752578724,0.007500704,1
BA 50 ,hedge,0.700869989,0.270211553,2.593782471,0.01152184,1
BA 50 ,cancer,-0.841230765,0.334873755,-2.512083293,0.014276894,1
BA 50 ,invest,2.273889866,0.442232698,5.141840206,2.31E-06,1
BA 50 ,success,-0.900529316,0.390256929,-2.307529348,0.023944225,1
BA 50 ,oil,0.644472098,0.206553529,3.120121463,0.002612961,1
BA 50 ,nyse,-0.951549733,0.4253762,-2.236960444,0.028430247,1
BA 50 ,culture,1.660244051,0.601586033,2.759778253,0.007353303,1
BA 50 ,present,-1.668582269,0.51230678,-3.256998219,0.001728094,1
BA 50 ,fond,-0.814110205,0.323248848,-2.518524691,0.014039854,1
BA 50 ,kitchen,-1.582058516,0.60276036,-2.624689046,0.010612022,1
