AC 48 ,Estimate,Std..Error,t.value,Pr...t..,
AC 48 ,(Intercept),16.17636776,21.07064484,0.767720584,0.445198962,1
AC 48 ,dowjones,-0.233083751,0.107916946,-2.159843846,0.0341628,1
AC 48 ,office,0.283284369,0.126000642,2.248277181,0.027664443,1
AC 48 ,fed,0.165414172,0.076660837,2.157740234,0.034332394,1
AC 48 ,travel,0.370620744,0.179656583,2.062939958,0.042776972,1
AC 48 ,economy,-0.296121899,0.118244514,-2.504318282,0.014567432,1
AC 48 ,nyse,-0.228402445,0.102843262,-2.22087904,0.029550537,1
AC 48 ,culture,0.520886658,0.145445538,3.581317559,0.000622062,1
AC 48 ,buy,-0.207910109,0.100104027,-2.0769405,0.041426657,1
AC 48 ,fond,-0.193883949,0.078151918,-2.48085976,0.01547777,1
AC 48 ,consumption,0.294854246,0.066139565,4.458061454,3.02E-05,1
