C 148 ,Estimate,Std..Error,t.value,Pr...t..,
C 148 ,(Intercept),7.965206785,28.91192673,0.275498996,0.783733116,1
C 148 ,investment,0.658766177,0.315282316,2.08944855,0.040251624,1
C 148 ,marriage,-0.134987232,0.066242898,-2.037761589,0.045301106,1
C 148 ,headlines,0.150280877,0.055513264,2.707116567,0.008495674,1
C 148 ,house,-0.392220681,0.194008408,-2.021668472,0.046980753,1
C 148 ,oil,0.145845343,0.068522702,2.128423685,0.036773465,1
C 148 ,gain,0.33103326,0.111763745,2.961902013,0.004156224,1
C 148 ,default,0.466174909,0.114377073,4.075772338,0.000118028,1
C 148 ,gains,0.229551824,0.082116261,2.795449059,0.006661378,1
C 148 ,food,0.318239168,0.135320663,2.351741122,0.021464149,1
C 148 ,nyse,-0.30308147,0.141115608,-2.147752996,0.035147629,1
C 148 ,culture,0.483192975,0.199572,2.421146132,0.01802989,1
C 148 ,energy,0.37842545,0.159720962,2.36929107,0.020544794,1
C 148 ,shortselling,-0.25936958,0.100948192,-2.569333589,0.012291013,1
C 148 ,forex,0.328354619,0.086902342,3.778432339,0.000325314,1
